Turbine_ID,Month_recorded,Section,Zone,Previous_Over_current_Trips,Lubrication_Type,New_Seal,Planned_shutdowns,Average_RPM,Asset_Age_Score,Average_Vibration_Score,Torque_rating,Bearing_Weight_Score,Insulation_Rating,Fatigue_Score,Asset_Failure
71,12.Dec,113,N,0,0,1,2,1364,0,19,3,0,19,0,T
72,10.Oct,114,N,0,0,1,2,942,35,62,3,0,17,0,F
73,08.Aug,116,N,0,0,2,2,1164,56,122,4,0,22,0,F
74,01.Jan,118,N,0,0,0,0,637,0,38,0,0,11,0,F
75,04.Apr,118,N,0,0,0,0,637,0,38,0,0,11,0,F
76,10.Oct,120,W,0,0,0,2,1650,69,118,2,9,38,0,T
77,03.Mar,120,W,0,0,0,2,1650,69,118,2,9,38,0,F
78,01.Jan,124,W,0,0,0,0,410,30,50,0,3,11,0,F
79,02.Feb,125,W,0,0,0,0,2123,121,272,0,14,52,0,T
80,03.Mar,125,W,1,0,1,2,2123,121,272,3,14,52,0,T
81,01.Jan,128,W,0,0,0,0,2130,115,146,0,18,44,0,T
82,03.Mar,130,W,0,0,1,1,3590,188,309,2,38,102,0,T
83,04.Apr,133,W,0,0,1,0,2416,107,223,1,17,44,0,F
84,09.Sep,134,W,2,0,4,9,7243,672,769,13,58,163,23.49468,T
85,09.Sep,134,W,2,0,4,9,7243,672,769,13,58,163,23.49468,T
86,09.Sep,136,W,1,0,1,1,7680,332,622,2,25,189,16.186414,F
87,05.May,142,W,0,0,1,2,4434,122,253,3,14,94,6.480741,F
88,02.Feb,143,W,2,0,6,7,8125,494,653,15,45,182,20.07486,T
89,03.Mar,144,N,0,0,0,0,445,0,23,0,0,10,0,T
90,02.Feb,147,N,0,0,0,0,1136,36,63,0,0,26,0,F
91,05.May,148,N,0,16,1,1,1065,15,43,2,0,17,0,F
92,08.Aug,150,W,0,0,0,0,1858,67,80,0,15,48,0,T
93,04.Apr,150,W,1,0,0,0,1858,67,80,0,15,48,0,T
94,03.Mar,150,W,1,0,0,0,1858,67,80,0,15,48,0,F
95,02.Feb,152,N,0,0,0,0,168,0,18,0,0,3,0,F
96,01.Jan,153,N,0,0,0,0,863,0,82,0,0,13,0,F
97,05.May,154,W,0,0,0,0,827,17,28,0,4,10,0,F
98,05.May,156,N,0,0,2,6,1517,71,82,10,7,28,7.937254,F
99,06.Jun,159,N,0,0,0,0,227,0,1,0,0,2,0,F
100,03.Mar,160,N,0,0,1,0,809,36,67,1,0,15,0,F
101,09.Sep,161,W,0,0,0,0,1187,83,95,0,21,10,0,F
102,05.May,162,W,0,0,2,2,1317,34,47,4,11,17,0,F
103,01.Jan,164,N,1,0,0,0,3894,253,370,0,46,105,14.3527,F
104,10.Oct,166,N,0,0,0,2,4986,375,544,4,51,80,3.741657,T
105,04.Apr,166,N,0,0,2,4,4986,375,544,10,51,80,3.741657,F
106,06.Jun,166,N,0,0,0,5,4986,375,544,5,51,80,3.741657,F
107,05.May,167,N,0,0,0,0,825,2,9,0,0,9,0,F
108,12.Dec,170,N,0,0,0,0,965,67,112,0,0,23,0,F
109,02.Feb,171,W,0,0,0,0,544,9,14,0,1,3,0,F
110,04.Apr,172,W,0,0,1,0,1773,14,190,1,4,22,0,F
111,11.Nov,180,N,0,0,0,1,8078,45,102,1,12,45,0,F
112,05.May,182,N,1,0,1,1,4579,172,250,2,20,84,10.677078,T
113,07.Jul,182,N,1,0,1,7,4579,172,250,9,20,84,10.677078,T
114,07.Jul,182,N,1,0,1,7,4579,172,250,9,20,84,10.677078,T
115,06.Jun,182,N,1,0,3,3,4579,172,250,11,20,84,10.677078,F
116,05.May,183,N,8,0,1,1,4982,355,752,3,69,85,11,T
117,08.Aug,183,N,9,0,0,1,4982,355,752,1,69,85,11,T
118,06.Jun,183,N,9,0,1,2,4982,355,752,8,69,85,11,F
119,01.Jan,184,N,0,0,0,0,2245,56,224,1,9,47,4.795832,T
120,01.Jan,184,N,0,0,0,0,2245,56,224,1,9,47,4.795832,F
121,07.Jul,185,N,0,0,0,0,1826,0,39,0,0,27,0,F
122,05.May,186,N,0,0,1,1,905,15,46,2,0,10,0,F
123,05.May,188,W,0,0,1,2,2133,11,47,3,0,29,1,F
124,04.Apr,189,W,0,0,1,4,2254,93,199,10,8,93,0,T
125,01.Jan,189,W,1,0,1,9,2254,93,199,11,8,93,0,F
126,05.May,191,W,1,0,4,11,5393,463,622,19,56,98,16.093477,T
127,06.Jun,191,W,2,0,1,8,5393,463,622,12,56,98,16.093477,T
128,07.Jul,191,W,2,0,1,7,5393,463,622,11,56,98,16.093477,T
129,05.May,192,W,0,0,1,3,3878,56,206,4,4,69,5.744563,T
130,04.Apr,192,W,0,0,1,3,3878,56,206,4,4,69,5.744563,F
131,04.Apr,194,W,0,0,0,0,1049,30,50,0,11,28,0,F
132,10.Oct,196,N,0,0,1,1,2426,123,211,2,12,48,10.77033,F
133,08.Aug,199,N,0,0,0,0,3632,0,340,0,0,75,0,F
134,09.Sep,201,N,2,0,1,5,7094,790,854,6,135,87,1.732051,T
135,08.Aug,201,N,2,0,1,2,7094,790,854,3,135,87,1.732051,T
136,08.Aug,203,N,0,0,0,0,653,31,59,0,0,13,0,F
137,11.Nov,205,W,0,0,1,2,602,0,12,3,0,4,0,F
138,10.Oct,208,W,0,0,0,0,1148,15,20,0,0,18,0,F
139,03.Mar,209,W,1,0,1,1,554,25,46,3,0,8,0,T
140,01.Jan,209,W,1,0,0,0,554,25,46,0,0,8,0,F
141,01.Jan,210,N,1,0,0,2,792,39,52,2,17,15,0,T
142,02.Feb,211,N,1,0,2,1,5141,166,345,6,70,72,12.806248,T
143,02.Feb,211,N,1,0,2,1,5141,166,345,6,70,72,12.806248,T
144,01.Jan,212,N,0,1,0,1,6219,140,398,3,38,114,11.874342,T
145,04.Apr,215,N,0,0,1,4,3035,214,409,5,78,41,14.662878,F
146,06.Jun,217,N,0,0,1,1,1079,76,118,2,0,28,0,T
147,09.Sep,217,N,1,0,1,3,1079,76,118,5,0,28,0,F
148,08.Aug,219,N,1,1,0,7,3283,87,198,8,0,72,0,F
149,05.May,220,N,0,0,1,1,1298,123,216,2,55,36,0,F
150,05.May,222,N,0,0,0,0,1612,5,68,0,0,41,0,F
151,03.Mar,223,N,0,3,1,4,2305,34,85,5,6,47,0,F
152,06.Jun,224,N,0,2,0,1,4333,41,236,1,26,85,0,F
153,07.Jul,225,N,0,0,0,0,0,0,0,0,0,0,0,F
154,11.Nov,226,N,0,0,0,0,4130,84,233,0,0,99,0,F
155,03.Mar,226,N,0,0,2,7,4130,84,233,9,0,99,0,F
156,12.Dec,228,N,0,0,0,0,503,0,17,0,0,7,0,F
157,08.Aug,229,N,0,0,0,0,985,33,70,0,0,22,0,T
158,07.Jul,230,W,0,0,0,0,423,9,20,0,1,8,0,F
159,01.Jan,232,W,5,0,0,2,2863,225,463,2,33,79,14.21267,T
160,01.Jan,232,W,5,0,0,2,2863,225,463,2,33,79,14.21267,F
161,11.Nov,234,W,1,0,1,3,4201,226,447,4,24,85,0,F
162,08.Aug,235,N,1,0,0,0,2347,63,182,0,15,45,0,T
163,05.May,237,N,0,0,0,2,3566,0,187,2,17,45,0,T
164,07.Jul,239,N,0,0,0,0,704,0,6,0,0,7,0,F
165,01.Jan,240,N,0,0,0,0,606,1,20,0,0,0,0,F
166,05.May,241,W,0,0,0,0,271,0,1,1,0,5,0,F
167,04.Apr,243,W,0,0,0,0,1481,18,45,0,0,20,0,F
168,03.Mar,244,N,0,0,0,0,608,0,75,0,5,8,0,F
169,02.Feb,245,N,1,0,0,0,328,0,48,0,3,6,0,F
170,07.Jul,246,N,0,2,1,3,1259,143,251,4,19,34,2.44949,T
171,04.Apr,246,N,0,2,0,0,1259,143,251,0,19,34,2.44949,F
172,08.Aug,247,N,0,0,0,3,2594,138,409,3,21,62,8.544004,T
173,02.Feb,247,N,0,0,0,3,2594,138,409,5,21,62,8.544004,F
174,04.Apr,250,N,0,0,0,0,765,6,22,0,1,9,1,F
175,11.Nov,253,N,0,4,0,0,1843,0,31,0,0,21,0,T
176,08.Aug,254,W,0,0,0,0,813,21,22,0,1,12,0,F
177,12.Dec,255,W,0,0,1,1,322,10,16,2,2,2,0,F
178,11.Nov,258,W,0,0,0,0,1468,87,154,0,30,41,0,T
179,12.Dec,258,W,1,0,1,1,1468,87,154,6,30,41,0,F
180,05.May,259,W,0,0,0,0,989,22,63,1,5,31,0,F
181,11.Nov,260,W,0,0,1,1,1873,49,59,2,11,44,0,F
182,04.Apr,261,W,0,0,2,4,1045,62,166,6,8,21,0,F
183,06.Jun,262,W,0,0,1,1,3094,92,119,2,13,48,0,F
184,05.May,263,W,0,0,1,2,665,23,26,3,4,12,0,F
185,03.Mar,264,W,0,0,0,0,3732,58,294,0,13,52,0,F
186,05.May,265,W,0,0,0,0,1221,30,37,0,1,16,0,F
187,07.Jul,266,W,0,0,0,1,882,39,72,1,6,19,0,T
188,02.Feb,267,N,0,0,0,0,399,29,29,0,4,3,4.582576,F
189,03.Mar,268,N,1,0,0,3,2958,186,385,3,15,61,7.416198,T
190,07.Jul,268,N,1,0,0,1,2958,186,385,1,15,61,7.416198,F
191,07.Jul,271,N,0,0,0,0,2594,81,190,0,13,46,0,T
192,04.Apr,273,N,2,0,2,5,3770,301,522,9,50,96,17.088007,T
193,02.Feb,274,N,0,0,0,0,382,12,16,0,4,3,2.44949,F
194,03.Mar,276,N,0,0,0,0,2204,132,256,0,12,55,10.908712,F
195,09.Sep,277,N,2,0,0,2,4175,381,544,2,43,76,19.131126,T
196,07.Jul,277,N,2,0,1,6,4175,381,544,7,43,76,19.131126,T
197,05.May,278,N,0,0,0,2,2476,26,222,2,23,41,10.630146,T
198,02.Feb,279,N,2,0,1,5,2897,195,295,6,16,43,12.288206,T
199,04.Apr,284,N,0,0,0,0,876,0,36,0,0,12,0,F
200,05.May,285,N,0,0,0,1,2986,0,88,1,5,51,0,F
201,06.Jun,288,N,0,0,1,2,3066,0,452,3,89,85,0,T
202,02.Feb,292,N,0,4,1,3,2185,81,363,4,0,63,0,F
203,03.Mar,294,W,0,0,0,0,583,4,76,0,4,8,1,F
204,03.Mar,295,W,0,1,1,3,3958,205,395,4,44,91,2,F
205,10.Oct,296,W,0,0,0,0,713,35,90,0,4,10,4.690416,F
206,07.Jul,297,W,2,0,0,0,2713,248,270,0,27,59,11.489125,T
207,07.Jul,297,W,2,0,0,0,2713,248,270,0,27,59,11.489125,T
208,11.Nov,297,W,4,0,6,2,2713,248,270,15,27,59,11.489125,T
209,12.Dec,297,W,4,0,5,3,2713,248,270,17,27,59,11.489125,T
210,11.Nov,300,W,0,0,0,0,549,18,21,0,8,6,0,F
211,08.Aug,303,W,0,0,0,0,1111,61,132,0,18,17,5.656854,F
212,01.Jan,305,W,0,0,0,0,947,0,126,0,0,16,0,F
213,08.Aug,306,W,1,0,1,3,3233,117,197,4,19,43,9.746794,F
214,03.Mar,311,W,1,0,0,0,2301,132,163,0,30,53,7.483315,T
215,07.Jul,311,W,1,0,0,0,2301,132,163,0,30,53,7.483315,T
216,02.Feb,313,N,0,0,0,0,800,62,75,0,8,10,1,F
217,09.Sep,314,N,0,0,0,0,1273,1,320,0,35,20,0,F
218,03.Mar,315,N,0,0,0,7,4585,0,508,10,22,89,0,T
219,06.Jun,316,N,0,0,0,0,2108,18,35,0,5,27,0,F
220,07.Jul,318,N,0,0,1,6,1850,0,281,7,7,34,0,F
221,04.Apr,319,N,0,0,1,2,3350,0,415,3,31,78,0,F
222,10.Oct,322,N,0,0,1,3,3648,0,494,4,122,51,0,F
223,10.Oct,323,N,0,0,0,0,642,0,42,0,0,11,0,F
224,05.May,324,N,0,0,0,0,479,0,279,0,0,7,0,F
225,11.Nov,326,N,0,0,0,1,991,27,82,1,0,22,3.162278,F
226,06.Jun,327,N,1,0,0,1,5318,259,733,1,79,104,16.673332,F
227,01.Jan,328,N,0,0,0,0,2410,95,302,0,60,40,4.358899,F
228,08.Aug,329,N,3,1,3,0,5562,319,718,3,79,139,17.117243,T
229,12.Dec,329,N,3,0,0,0,5562,319,718,1,79,139,17.117243,F
230,08.Aug,331,W,2,0,0,6,4454,386,452,7,68,55,0,F
231,07.Jul,332,W,0,0,0,0,433,22,31,0,4,7,0,T
232,01.Jan,332,W,1,0,0,0,433,22,31,0,4,7,0,F
233,12.Dec,334,W,0,0,0,4,2074,115,170,4,15,28,0,T
234,05.May,334,W,0,0,0,0,2074,115,170,0,15,28,0,F
235,05.May,336,W,0,0,0,0,896,0,80,0,26,17,0,F
236,04.Apr,338,W,0,0,0,0,2824,49,106,0,15,40,0,F
237,06.Jun,340,W,0,0,0,1,2204,31,124,1,2,35,5.09902,F
238,11.Nov,341,W,2,0,0,1,4496,113,311,1,17,71,9,T
239,04.Apr,341,W,2,0,0,0,4496,113,311,0,17,71,9,F
240,01.Jan,342,W,0,0,2,2,5072,233,419,4,42,74,10.535654,F
241,03.Mar,343,W,0,0,0,0,2842,120,185,0,38,54,0,F
242,02.Feb,344,W,1,0,1,2,3866,322,390,3,59,79,13.638182,T
243,07.Jul,345,W,0,0,0,0,2780,158,251,0,42,40,0,T
244,09.Sep,345,W,0,0,1,2,2780,158,251,4,42,40,0,T
245,04.Apr,350,N,1,0,4,6,4981,273,546,12,26,96,15.459625,T
246,07.Jul,351,N,0,0,0,0,1280,77,140,0,6,17,5.656854,F
247,10.Oct,352,N,0,0,0,7,3977,108,310,8,8,68,9.899495,F
248,05.May,353,N,5,1,1,9,7745,378,912,12,22,170,16.124515,T
249,06.Jun,353,N,6,1,1,5,7745,378,912,7,22,170,16.124515,T
250,11.Nov,353,N,6,1,0,1,7745,378,912,3,22,170,16.124515,T
251,07.Jul,353,N,7,3,1,6,7745,378,912,10,22,170,16.124515,T
252,08.Aug,353,N,7,3,2,13,7745,378,912,17,22,170,16.124515,T
253,09.Sep,353,N,8,3,2,16,7745,378,912,19,22,170,16.124515,T
254,08.Aug,354,N,1,3,0,3,5878,429,726,4,19,97,20.904545,T
255,01.Jan,355,N,4,0,1,4,7595,520,793,7,51,155,20.024984,T
256,05.May,355,N,7,1,2,4,7595,520,793,7,51,155,20.024984,T
257,11.Nov,356,N,1,0,0,0,5415,582,658,1,154,83,9,F
258,08.Aug,357,N,2,0,1,3,3781,198,345,4,20,62,14.491377,T
259,07.Jul,358,N,0,0,0,1,3367,80,428,1,35,65,6.244998,F
260,12.Dec,359,N,6,0,2,10,7877,549,1011,15,41,161,25.019992,T
261,08.Aug,359,N,3,0,2,6,7877,549,1011,11,41,161,25.019992,T
262,11.Nov,359,N,5,0,3,11,7877,549,1011,17,41,161,25.019992,T
263,07.Jul,360,N,3,0,1,5,6201,389,798,6,215,120,19.467922,T
264,07.Jul,360,N,3,0,1,5,6201,389,798,6,215,120,19.467922,T
265,07.Jul,360,N,4,0,0,2,6201,389,798,2,215,120,19.467922,T
266,08.Aug,360,N,4,0,0,2,6201,389,798,2,215,120,19.467922,T
267,01.Jan,361,N,1,0,0,1,2960,134,225,1,16,57,10.535654,T
268,08.Aug,361,N,3,0,1,4,2960,134,225,6,16,57,10.535654,T
269,10.Oct,362,N,0,0,1,8,3876,130,394,15,31,65,12.247449,F
270,08.Aug,363,N,2,0,2,2,1935,135,199,4,11,33,11.958261,F
271,11.Nov,369,W,6,0,3,4,4405,295,400,7,62,87,12.206556,T
272,02.Feb,369,W,6,0,2,5,4405,295,400,8,62,87,12.206556,F
273,03.Mar,370,W,1,0,4,3,6662,367,670,8,45,141,16.340135,F
274,05.May,375,W,1,0,0,2,4202,253,469,2,46,71,2.645751,F
275,04.Apr,378,W,0,1,4,3,3794,454,558,7,128,75,1,F
276,09.Sep,380,W,0,0,0,0,936,23,764,0,9,21,0,F
277,07.Jul,381,W,0,0,0,0,607,13,300,0,3,11,1,T
278,03.Mar,381,W,0,0,0,4,607,13,300,5,3,11,1,F
279,05.May,382,W,1,0,0,0,675,41,44,0,16,17,0,F
280,05.May,384,N,0,0,0,2,948,22,207,2,7,25,4.242641,T
281,08.Aug,386,N,0,0,0,1,5654,187,407,1,64,93,10.583005,F
282,06.Jun,389,N,0,0,0,0,1097,0,51,0,0,15,0,F
283,10.Oct,391,N,0,0,0,0,2078,0,185,0,8,39,0,T
284,01.Jan,392,N,2,0,0,1,6421,0,417,2,14,114,0,F
285,01.Jan,393,N,0,0,1,1,2369,0,186,2,15,44,0,F
286,04.Apr,395,N,1,0,3,4,5637,422,456,8,13,111,19.467922,T
287,07.Jul,395,N,1,0,0,1,5637,422,456,1,13,111,19.467922,T
288,08.Aug,395,N,2,0,0,4,5637,422,456,4,13,111,19.467922,T
289,09.Sep,395,N,2,0,0,8,5637,422,456,8,13,111,19.467922,T
290,07.Jul,396,N,2,0,0,2,6600,581,790,2,50,115,23.727621,T
291,05.May,396,N,3,0,5,10,6600,581,790,15,50,115,23.727621,T
292,07.Jul,396,N,3,0,4,7,6600,581,790,13,50,115,23.727621,T
293,07.Jul,396,N,3,0,4,7,6600,581,790,13,50,115,23.727621,T
294,07.Jul,396,N,3,0,4,7,6600,581,790,13,50,115,23.727621,T
295,08.Aug,396,N,3,0,5,16,6600,581,790,26,50,115,23.727621,T
296,03.Mar,397,N,2,0,1,1,5801,114,217,2,7,87,9.219544,T
297,08.Aug,397,N,2,0,0,2,5801,114,217,2,7,87,9.219544,T
298,08.Aug,397,N,2,0,0,2,5801,114,217,2,7,87,9.219544,T
299,09.Sep,397,N,2,0,1,7,5801,114,217,9,7,87,9.219544,T
300,06.Jun,398,N,1,0,1,1,6190,283,700,2,34,109,15.491933,T
301,08.Aug,398,N,3,0,0,9,6190,283,700,12,34,109,15.491933,T
302,09.Sep,398,N,3,0,2,21,6190,283,700,27,34,109,15.491933,T
303,08.Aug,400,N,0,0,0,2,3378,131,174,2,9,53,2,T
304,08.Aug,400,N,0,0,2,4,3378,131,174,7,9,53,2,F
305,08.Aug,401,N,0,0,0,0,32,0,26,1,2,0,0,F
306,11.Nov,402,N,0,0,0,0,930,0,237,0,0,30,0,F
307,08.Aug,403,N,0,0,0,0,0,0,7,1,0,0,0,F
308,04.Apr,405,N,0,0,1,1,1335,42,97,2,0,34,0,F
309,04.Apr,408,W,0,0,0,0,1245,51,88,0,12,10,0,F
310,06.Jun,409,W,1,0,2,5,4410,395,523,7,91,61,1.414214,T
311,06.Jun,409,W,1,0,2,5,4410,395,523,7,91,61,1.414214,T
312,07.Jul,410,W,0,0,0,0,1178,3,3,0,0,14,0,F
313,03.Mar,411,W,0,0,0,0,720,38,46,0,6,7,0,F
314,10.Oct,413,W,0,0,1,1,2305,102,272,3,40,58,0,F
315,03.Mar,415,W,0,0,0,0,1641,28,84,0,1,44,0,F
316,10.Oct,416,W,1,0,0,0,2372,111,149,0,21,39,1,F
317,04.Apr,418,W,1,0,3,8,6296,865,985,12,36,94,28.982753,T
318,05.May,418,W,2,0,3,8,6296,865,985,13,36,94,28.982753,T
319,06.Jun,418,W,2,0,7,16,6296,865,985,28,36,94,28.982753,T
320,07.Jul,418,W,2,0,6,14,6296,865,985,27,36,94,28.982753,T
321,08.Aug,418,W,2,0,6,16,6296,865,985,29,36,94,28.982753,T
322,11.Nov,418,W,2,0,3,7,6296,865,985,13,36,94,28.982753,T
323,03.Mar,420,W,0,0,1,4,7560,742,895,7,33,143,25.238859,T
324,03.Mar,421,W,0,0,4,8,4304,448,679,14,131,77,14.866069,T
325,10.Oct,422,W,2,0,2,3,6402,416,542,6,38,87,18.466185,T
326,09.Sep,423,W,5,0,0,1,5986,565,855,1,30,103,22.891046,F
327,03.Mar,424,W,2,0,1,2,3626,445,557,3,44,57,15.84298,T
328,10.Oct,424,W,3,0,1,4,3626,445,557,7,44,57,15.84298,F
329,06.Jun,426,W,0,0,1,4,2522,75,391,5,19,30,0,F
330,04.Apr,427,W,0,0,1,1,3750,51,158,2,6,59,0,F
331,04.Apr,429,W,0,0,0,2,2836,0,343,2,38,31,9.591663,F
332,12.Dec,430,W,1,0,3,6,3803,443,671,12,101,86,0,T
333,12.Dec,430,W,1,0,3,6,3803,443,671,12,101,86,0,T
334,10.Oct,430,W,2,0,0,3,3803,443,671,3,101,86,0,F
335,05.May,434,N,0,0,0,0,655,0,3,0,0,3,0,F
336,06.Jun,435,N,3,0,0,0,1968,80,138,0,7,21,7.874008,F
337,10.Oct,437,N,0,0,1,0,644,0,7,1,0,5,0,F
338,08.Aug,438,N,0,0,1,1,3084,50,247,2,35,40,1,T
339,06.Jun,439,N,1,0,0,2,2533,51,221,2,27,41,7.071068,T
340,10.Oct,439,N,1,0,0,3,2533,51,221,5,27,41,7.071068,F
341,02.Feb,440,N,0,0,1,3,1894,100,226,6,17,38,8.602325,T
342,04.Apr,440,N,1,0,4,5,1894,100,226,14,17,38,8.602325,F
343,12.Dec,441,N,0,0,0,0,5019,46,319,0,2,94,4.123106,F
344,02.Feb,444,N,0,0,0,0,1982,19,42,0,2,18,3.464102,F
345,07.Jul,445,N,6,9,1,4,6242,251,299,5,28,104,8.306624,T
346,07.Jul,445,N,6,9,1,4,6242,251,299,5,28,104,8.306624,T
347,09.Sep,445,N,6,9,0,30,6242,251,299,38,28,104,8.306624,T
348,08.Aug,445,N,6,9,0,14,6242,251,299,19,28,104,8.306624,F
349,06.Jun,448,N,0,0,0,4,2549,161,235,5,59,41,0,F
350,09.Sep,451,N,0,0,3,8,4423,257,454,11,50,75,1,T
351,08.Aug,452,N,1,0,0,4,3182,184,563,6,79,69,0,T
352,09.Sep,452,N,1,0,0,7,3182,184,563,9,79,69,0,T
353,10.Oct,452,N,1,0,1,10,3182,184,563,15,79,69,0,T
354,08.Aug,453,N,0,0,0,1,1877,0,266,1,21,47,0,F
355,08.Aug,454,W,0,0,0,0,395,0,3,0,0,7,0,F
356,11.Nov,455,W,1,0,1,1,1419,90,165,2,34,31,0,F
357,07.Jul,456,W,0,0,1,2,3383,219,453,3,66,44,0,F
358,05.May,458,W,4,0,0,0,5744,234,325,0,49,71,12.569805,F
359,08.Aug,460,W,0,0,0,0,960,60,80,0,11,7,0,F
360,04.Apr,462,W,0,0,0,0,2946,174,366,0,37,50,10.583005,F
361,12.Dec,464,W,0,0,1,2,5041,231,495,4,66,75,0,T
362,12.Dec,464,W,0,0,1,2,5041,231,495,4,66,75,0,F
363,01.Jan,465,W,0,0,0,0,2008,89,289,0,14,26,0,F
