Turbine_ID,Temperature_Class_One_Week_Before,Average_Pressure_Score
123,3. (Warm 15c- 19c),29.076923
124,1. Cold (under 7c),31.538462
125,1. Cold (under 7c),37.923077
126,3. (Warm 15c- 19c),14
127,1. Cold (under 7c),20.846154
128,2. Cool ( 7c - 14c),24.307692
129,3. (Warm 15c- 19c),29.076923
130,1. Cold (under 7c),31.538462
131,1. Cold (under 7c),31.538462
132,1. Cold (under 7c),14.538462
133,1. Cold (under 7c),25.076923
134,3. (Warm 15c- 19c),34.384615
135,2. Cool ( 7c - 14c),28.769231
136,2. Cool ( 7c - 14c),28.769231
137,1. Cold (under 7c),29.230769
138,4. Hot  (20c and over),26.461538
139,4. Hot  (20c and over),23.769231
140,2. Cool ( 7c - 14c),22.538462
141,1. Cold (under 7c),37.923077
142,1. Cold (under 7c),14.769231
143,1. Cold (under 7c),14.769231
144,1. Cold (under 7c),42.692308
145,4. Hot  (20c and over),14.769231
146,1. Cold (under 7c),17.384615
147,3. (Warm 15c- 19c),34.384615
148,2. Cool ( 7c - 14c),28.769231
149,4. Hot  (20c and over),25.923077
150,4. Hot  (20c and over),13.230769
151,1. Cold (under 7c),26.307692
152,1. Cold (under 7c),17.384615
153,1. Cold (under 7c),17.384615
154,1. Cold (under 7c),34.230769
155,3. (Warm 15c- 19c),26.461538
156,1. Cold (under 7c),26.384615
157,1. Cold (under 7c),25.538462
158,1. Cold (under 7c),19.923077
159,2. Cool ( 7c - 14c),22.538462
160,2. Cool ( 7c - 14c),22.538462
161,1. Cold (under 7c),29.230769
162,1. Cold (under 7c),25.076923
163,4. Hot  (20c and over),25.923077
164,1. Cold (under 7c),18.538462
165,2. Cool ( 7c - 14c),24.923077
166,3. (Warm 15c- 19c),14
167,4. Hot  (20c and over),15.692308
168,4. Hot  (20c and over),23.769231
169,1. Cold (under 7c),16.846154
170,2. Cool ( 7c - 14c),24.307692
171,4. Hot  (20c and over),15.692308
172,2. Cool ( 7c - 14c),25.769231
173,1. Cold (under 7c),16.846154
174,1. Cold (under 7c),28.230769
175,1. Cold (under 7c),34.230769
176,1. Cold (under 7c),26.307692
177,1. Cold (under 7c),26.923077
178,1. Cold (under 7c),29.230769
179,1. Cold (under 7c),26.923077
180,3. (Warm 15c- 19c),29.076923
181,1. Cold (under 7c),29.230769
182,4. Hot  (20c and over),15.692308
183,1. Cold (under 7c),20.846154
184,3. (Warm 15c- 19c),29.076923
185,4. Hot  (20c and over),23.769231
186,3. (Warm 15c- 19c),14
187,2. Cool ( 7c - 14c),24.307692
188,1. Cold (under 7c),31.461538
189,1. Cold (under 7c),31.461538
190,1. Cold (under 7c),19.923077
191,1. Cold (under 7c),19.923077
192,4. Hot  (20c and over),15.692308
193,1. Cold (under 7c),16.846154
194,1. Cold (under 7c),31.461538
195,3. (Warm 15c- 19c),31.769231
196,2. Cool ( 7c - 14c),24.307692
197,3. (Warm 15c- 19c),29.076923
198,1. Cold (under 7c),16.846154
199,1. Cold (under 7c),28.230769
200,4. Hot  (20c and over),13.230769
201,1. Cold (under 7c),17.384615
202,1. Cold (under 7c),30.692308
203,1. Cold (under 7c),31.461538
204,4. Hot  (20c and over),23.769231
205,4. Hot  (20c and over),26.461538
206,1. Cold (under 7c),19.923077
207,1. Cold (under 7c),19.923077
208,1. Cold (under 7c),29.230769
209,1. Cold (under 7c),26.923077
210,1. Cold (under 7c),29.230769
211,2. Cool ( 7c - 14c),25.769231
212,2. Cool ( 7c - 14c),22.538462
213,1. Cold (under 7c),26.307692
214,1. Cold (under 7c),31.461538
215,1. Cold (under 7c),19.923077
216,1. Cold (under 7c),31.461538
217,3. (Warm 15c- 19c),31.769231
218,4. Hot  (20c and over),23.769231
219,1. Cold (under 7c),20.846154
220,2. Cool ( 7c - 14c),24.307692
221,1. Cold (under 7c),28.230769
222,1. Cold (under 7c),14.538462
223,1. Cold (under 7c),14.538462
224,4. Hot  (20c and over),25.923077
225,1. Cold (under 7c),34.230769
226,1. Cold (under 7c),19.692308
227,2. Cool ( 7c - 14c),22.307692
228,2. Cool ( 7c - 14c),28.769231
229,1. Cold (under 7c),29.692308
230,1. Cold (under 7c),26.307692
231,1. Cold (under 7c),19.923077
232,1. Cold (under 7c),37.923077
233,1. Cold (under 7c),26.923077
234,3. (Warm 15c- 19c),14
235,3. (Warm 15c- 19c),14
236,1. Cold (under 7c),31.538462
237,1. Cold (under 7c),20.846154
238,1. Cold (under 7c),29.230769
239,4. Hot  (20c and over),15.692308
240,1. Cold (under 7c),37.923077
241,1. Cold (under 7c),31.461538
242,1. Cold (under 7c),16.846154
243,2. Cool ( 7c - 14c),24.307692
244,3. (Warm 15c- 19c),17.769231
245,4. Hot  (20c and over),15.692308
246,1. Cold (under 7c),19.923077
247,1. Cold (under 7c),11.846154
248,4. Hot  (20c and over),25.923077
249,1. Cold (under 7c),17.384615
250,1. Cold (under 7c),34.230769
251,2. Cool ( 7c - 14c),26.923077
252,2. Cool ( 7c - 14c),28.769231
253,4. Hot  (20c and over),22.076923
254,2. Cool ( 7c - 14c),28.769231
255,2. Cool ( 7c - 14c),22.307692
256,4. Hot  (20c and over),13.230769
257,1. Cold (under 7c),34.230769
258,2. Cool ( 7c - 14c),28.769231
259,1. Cold (under 7c),17.384615
260,1. Cold (under 7c),29.692308
261,1. Cold (under 7c),25.076923
262,1. Cold (under 7c),34.230769
263,1. Cold (under 7c),17.384615
264,1. Cold (under 7c),17.384615
265,2. Cool ( 7c - 14c),26.923077
266,2. Cool ( 7c - 14c),28.769231
267,1. Cold (under 7c),42.692308
268,2. Cool ( 7c - 14c),28.769231
269,1. Cold (under 7c),14.538462
270,1. Cold (under 7c),25.076923
271,1. Cold (under 7c),29.230769
272,1. Cold (under 7c),16.846154
273,1. Cold (under 7c),31.461538
274,3. (Warm 15c- 19c),14
275,4. Hot  (20c and over),15.692308
276,3. (Warm 15c- 19c),17.769231
277,2. Cool ( 7c - 14c),24.307692
278,1. Cold (under 7c),31.461538
279,3. (Warm 15c- 19c),14
280,3. (Warm 15c- 19c),14
281,1. Cold (under 7c),26.307692
282,1. Cold (under 7c),18.076923
283,4. Hot  (20c and over),30.846154
284,1. Cold (under 7c),42.692308
285,1. Cold (under 7c),42.692308
286,1. Cold (under 7c),28.230769
287,2. Cool ( 7c - 14c),26.923077
288,2. Cool ( 7c - 14c),28.769231
289,4. Hot  (20c and over),22.076923
290,1. Cold (under 7c),17.384615
291,4. Hot  (20c and over),13.230769
292,2. Cool ( 7c - 14c),26.923077
293,2. Cool ( 7c - 14c),26.923077
294,2. Cool ( 7c - 14c),26.923077
295,2. Cool ( 7c - 14c),28.769231
296,3. (Warm 15c- 19c),26.461538
297,2. Cool ( 7c - 14c),28.769231
298,2. Cool ( 7c - 14c),28.769231
299,4. Hot  (20c and over),22.076923
300,1. Cold (under 7c),17.384615
301,2. Cool ( 7c - 14c),28.769231
302,4. Hot  (20c and over),22.076923
303,2. Cool ( 7c - 14c),28.769231
304,1. Cold (under 7c),25.076923
305,1. Cold (under 7c),25.076923
306,1. Cold (under 7c),34.230769
307,2. Cool ( 7c - 14c),28.769231
308,1. Cold (under 7c),30.153846
309,1. Cold (under 7c),31.538462
310,1. Cold (under 7c),20.846154
311,1. Cold (under 7c),20.846154
312,2. Cool ( 7c - 14c),24.307692
313,4. Hot  (20c and over),23.769231
314,4. Hot  (20c and over),26.461538
315,1. Cold (under 7c),31.461538
316,1. Cold (under 7c),11.846154
317,1. Cold (under 7c),31.538462
318,3. (Warm 15c- 19c),29.076923
319,1. Cold (under 7c),18.076923
320,1. Cold (under 7c),19.923077
321,1. Cold (under 7c),26.307692
322,1. Cold (under 7c),29.230769
323,1. Cold (under 7c),31.461538
324,4. Hot  (20c and over),23.769231
325,1. Cold (under 7c),11.846154
326,3. (Warm 15c- 19c),31.769231
327,1. Cold (under 7c),31.461538
328,4. Hot  (20c and over),26.461538
329,1. Cold (under 7c),18.076923
330,4. Hot  (20c and over),15.692308
331,4. Hot  (20c and over),15.692308
332,1. Cold (under 7c),26.923077
333,1. Cold (under 7c),26.923077
334,1. Cold (under 7c),11.846154
335,3. (Warm 15c- 19c),29.076923
336,1. Cold (under 7c),20.846154
337,4. Hot  (20c and over),26.461538
338,2. Cool ( 7c - 14c),25.769231
339,1. Cold (under 7c),18.076923
340,4. Hot  (20c and over),26.461538
341,1. Cold (under 7c),14.769231
342,1. Cold (under 7c),28.230769
343,1. Cold (under 7c),29.692308
344,1. Cold (under 7c),34.923077
345,2. Cool ( 7c - 14c),26.923077
346,2. Cool ( 7c - 14c),26.923077
347,4. Hot  (20c and over),22.076923
348,2. Cool ( 7c - 14c),28.769231
349,1. Cold (under 7c),17.384615
350,4. Hot  (20c and over),22.076923
351,2. Cool ( 7c - 14c),28.769231
352,4. Hot  (20c and over),22.076923
353,1. Cold (under 7c),14.538462
354,1. Cold (under 7c),25.076923
355,2. Cool ( 7c - 14c),25.769231
356,1. Cold (under 7c),29.230769
357,1. Cold (under 7c),19.923077
358,3. (Warm 15c- 19c),14
359,1. Cold (under 7c),26.307692
360,1. Cold (under 7c),31.538462
361,1. Cold (under 7c),26.923077
362,1. Cold (under 7c),26.923077
363,1. Cold (under 7c),37.923077
364,2. Cool ( 7c - 14c),24.307692
365,1. Cold (under 7c),16.846154
366,1. Cold (under 7c),31.461538
367,1. Cold (under 7c),26.923077
368,4. Hot  (20c and over),26.461538
369,4. Hot  (20c and over),26.461538
370,4. Hot  (20c and over),23.769231
371,4. Hot  (20c and over),15.692308
372,3. (Warm 15c- 19c),17.769231
373,2. Cool ( 7c - 14c),24.307692
374,2. Cool ( 7c - 14c),24.307692
375,4. Hot  (20c and over),23.769231
376,1. Cold (under 7c),31.538462
377,1. Cold (under 7c),26.923077
378,1. Cold (under 7c),31.461538
379,2. Cool ( 7c - 14c),22.538462
380,2. Cool ( 7c - 14c),22.538462
381,1. Cold (under 7c),16.846154
382,3. (Warm 15c- 19c),14
383,1. Cold (under 7c),26.307692
384,3. (Warm 15c- 19c),31.769231
385,1. Cold (under 7c),19.923077
386,4. Hot  (20c and over),26.461538
387,4. Hot  (20c and over),26.461538
388,3. (Warm 15c- 19c),17.769231
389,1. Cold (under 7c),20.846154
390,1. Cold (under 7c),11.846154
391,1. Cold (under 7c),29.230769
392,2. Cool ( 7c - 14c),24.307692
393,3. (Warm 15c- 19c),29.076923
394,3. (Warm 15c- 19c),31.769231
395,1. Cold (under 7c),29.692308
396,4. Hot  (20c and over),22.076923
397,1. Cold (under 7c),14.769231
398,4. Hot  (20c and over),14.769231
399,4. Hot  (20c and over),25.923077
400,4. Hot  (20c and over),26.461538
401,3. (Warm 15c- 19c),29.076923
402,1. Cold (under 7c),26.923077
403,1. Cold (under 7c),18.076923
404,1. Cold (under 7c),11.846154
405,2. Cool ( 7c - 14c),25.769231
406,1. Cold (under 7c),20.846154
407,4. Hot  (20c and over),23.769231
408,1. Cold (under 7c),26.923077
409,3. (Warm 15c- 19c),14
410,1. Cold (under 7c),26.307692
411,1. Cold (under 7c),31.461538
412,1. Cold (under 7c),31.461538
413,1. Cold (under 7c),16.846154
414,3. (Warm 15c- 19c),31.769231
415,1. Cold (under 7c),26.923077
416,1. Cold (under 7c),26.307692
417,1. Cold (under 7c),18.076923
418,1. Cold (under 7c),19.923077
419,1. Cold (under 7c),26.307692
420,4. Hot  (20c and over),26.461538
421,2. Cool ( 7c - 14c),24.307692
422,1. Cold (under 7c),16.846154
423,2. Cool ( 7c - 14c),25.769231
424,1. Cold (under 7c),26.307692
425,3. (Warm 15c- 19c),14
426,4. Hot  (20c and over),15.692308
427,2. Cool ( 7c - 14c),22.538462
428,3. (Warm 15c- 19c),29.076923
429,1. Cold (under 7c),18.076923
430,1. Cold (under 7c),29.230769
431,2. Cool ( 7c - 14c),24.307692
432,2. Cool ( 7c - 14c),22.538462
433,1. Cold (under 7c),18.076923
434,4. Hot  (20c and over),15.692308
435,1. Cold (under 7c),20.846154
436,2. Cool ( 7c - 14c),24.307692
437,2. Cool ( 7c - 14c),25.769231
438,1. Cold (under 7c),11.846154
439,1. Cold (under 7c),19.923077
440,1. Cold (under 7c),31.461538
441,2. Cool ( 7c - 14c),25.769231
442,1. Cold (under 7c),29.230769
443,4. Hot  (20c and over),23.769231
444,1. Cold (under 7c),16.846154
445,1. Cold (under 7c),18.076923
446,1. Cold (under 7c),19.923077
447,1. Cold (under 7c),28.230769
448,1. Cold (under 7c),34.230769
449,1. Cold (under 7c),31.461538
450,1. Cold (under 7c),18.076923
451,1. Cold (under 7c),11.846154
452,3. (Warm 15c- 19c),29.076923
453,1. Cold (under 7c),16.846154
454,2. Cool ( 7c - 14c),25.769231
455,1. Cold (under 7c),11.846154
456,4. Hot  (20c and over),26.461538
457,2. Cool ( 7c - 14c),25.769231
458,1. Cold (under 7c),31.461538
459,2. Cool ( 7c - 14c),24.307692
460,3. (Warm 15c- 19c),17.769231
461,1. Cold (under 7c),31.538462
462,1. Cold (under 7c),18.076923
463,4. Hot  (20c and over),23.769231
464,1. Cold (under 7c),18.076923
465,1. Cold (under 7c),18.076923
466,4. Hot  (20c and over),15.692308
467,1. Cold (under 7c),20.846154
468,4. Hot  (20c and over),26.461538
469,1. Cold (under 7c),19.923077
470,4. Hot  (20c and over),26.461538
471,1. Cold (under 7c),11.846154
472,1. Cold (under 7c),31.461538
473,4. Hot  (20c and over),23.769231
474,4. Hot  (20c and over),15.692308
475,1. Cold (under 7c),16.846154
476,1. Cold (under 7c),19.923077
477,4. Hot  (20c and over),15.692308
478,1. Cold (under 7c),31.461538
479,1. Cold (under 7c),18.076923
480,3. (Warm 15c- 19c),17.769231
481,3. (Warm 15c- 19c),26.461538
482,1. Cold (under 7c),17.384615
483,4. Hot  (20c and over),25.923077
484,3. (Warm 15c- 19c),26.461538
485,3. (Warm 15c- 19c),26.461538
486,1. Cold (under 7c),42.692308
487,1. Cold (under 7c),11.846154
488,1. Cold (under 7c),19.923077
489,1. Cold (under 7c),26.923077
490,3. (Warm 15c- 19c),14
491,2. Cool ( 7c - 14c),22.538462
492,1. Cold (under 7c),29.230769
493,2. Cool ( 7c - 14c),24.307692
494,1. Cold (under 7c),31.538462
495,3. (Warm 15c- 19c),31.769231
496,1. Cold (under 7c),11.846154
497,1. Cold (under 7c),37.923077
498,1. Cold (under 7c),31.538462
499,1. Cold (under 7c),11.846154
500,4. Hot  (20c and over),15.692308
501,1. Cold (under 7c),16.846154
502,1. Cold (under 7c),19.923077
503,2. Cool ( 7c - 14c),24.307692
504,2. Cool ( 7c - 14c),24.307692
505,1. Cold (under 7c),26.307692
506,1. Cold (under 7c),37.923077
507,1. Cold (under 7c),37.923077
508,3. (Warm 15c- 19c),31.769231
509,1. Cold (under 7c),11.846154
510,1. Cold (under 7c),31.461538
511,1. Cold (under 7c),31.461538
512,2. Cool ( 7c - 14c),25.769231
513,1. Cold (under 7c),31.461538
514,4. Hot  (20c and over),15.692308
515,1. Cold (under 7c),26.923077
516,4. Hot  (20c and over),23.769231
517,2. Cool ( 7c - 14c),24.307692
518,2. Cool ( 7c - 14c),25.769231
519,1. Cold (under 7c),20.846154
520,3. (Warm 15c- 19c),17.769231
521,3. (Warm 15c- 19c),14
522,1. Cold (under 7c),16.846154
523,3. (Warm 15c- 19c),29.076923
524,4. Hot  (20c and over),26.461538
525,4. Hot  (20c and over),23.769231
526,2. Cool ( 7c - 14c),22.307692
527,2. Cool ( 7c - 14c),26.923077
528,1. Cold (under 7c),17.384615
529,1. Cold (under 7c),30.153846
530,1. Cold (under 7c),35.769231
531,2. Cool ( 7c - 14c),23
532,1. Cold (under 7c),24.923077
533,1. Cold (under 7c),18.076923
534,3. (Warm 15c- 19c),29.076923
535,3. (Warm 15c- 19c),14
536,2. Cool ( 7c - 14c),22.538462
537,4. Hot  (20c and over),15.692308
538,3. (Warm 15c- 19c),14
539,2. Cool ( 7c - 14c),25.769231
540,4. Hot  (20c and over),26.461538
541,4. Hot  (20c and over),15.692308
542,1. Cold (under 7c),19.923077
543,1. Cold (under 7c),31.461538
544,2. Cool ( 7c - 14c),24.307692
545,1. Cold (under 7c),18.076923
546,3. (Warm 15c- 19c),14
547,3. (Warm 15c- 19c),14
548,1. Cold (under 7c),37.923077
549,1. Cold (under 7c),20.846154
550,3. (Warm 15c- 19c),31.769231
551,1. Cold (under 7c),31.538462
552,4. Hot  (20c and over),26.461538
553,4. Hot  (20c and over),15.692308
554,1. Cold (under 7c),31.538462
555,1. Cold (under 7c),26.923077
556,2. Cool ( 7c - 14c),22.538462
557,1. Cold (under 7c),19.923077
558,3. (Warm 15c- 19c),17.769231
559,1. Cold (under 7c),19.923077
560,2. Cool ( 7c - 14c),22.538462
561,3. (Warm 15c- 19c),29.076923
562,1. Cold (under 7c),37.923077
563,1. Cold (under 7c),26.923077
564,4. Hot  (20c and over),23.769231
565,4. Hot  (20c and over),23.769231
566,1. Cold (under 7c),26.923077
567,1. Cold (under 7c),29.230769
568,2. Cool ( 7c - 14c),25.769231
569,1. Cold (under 7c),19.923077
570,4. Hot  (20c and over),15.692308
571,1. Cold (under 7c),18.076923
572,2. Cool ( 7c - 14c),22.538462
573,3. (Warm 15c- 19c),29.076923
574,1. Cold (under 7c),20.846154
575,1. Cold (under 7c),34.923077
576,2. Cool ( 7c - 14c),28.769231
577,1. Cold (under 7c),14.538462
578,1. Cold (under 7c),14.769231
579,1. Cold (under 7c),34.230769
580,1. Cold (under 7c),19.692308
581,3. (Warm 15c- 19c),34.384615
582,1. Cold (under 7c),26.307692
583,1. Cold (under 7c),17.384615
584,3. (Warm 15c- 19c),14
585,1. Cold (under 7c),37.923077
586,4. Hot  (20c and over),15.692308
587,3. (Warm 15c- 19c),29.076923
588,1. Cold (under 7c),26.923077
589,1. Cold (under 7c),16.846154
590,4. Hot  (20c and over),15.692308
591,1. Cold (under 7c),29.230769
592,1. Cold (under 7c),31.461538
593,1. Cold (under 7c),29.230769
594,2. Cool ( 7c - 14c),24.307692
595,1. Cold (under 7c),31.461538
596,1. Cold (under 7c),31.538462
597,3. (Warm 15c- 19c),29.076923
598,4. Hot  (20c and over),26.461538
599,4. Hot  (20c and over),23.769231
600,1. Cold (under 7c),29.230769
601,1. Cold (under 7c),37.923077
602,4. Hot  (20c and over),23.769231
603,4. Hot  (20c and over),15.692308
604,4. Hot  (20c and over),26.461538
605,1. Cold (under 7c),31.461538
606,3. (Warm 15c- 19c),31.769231
607,2. Cool ( 7c - 14c),25.769231
608,1. Cold (under 7c),19.923077
609,3. (Warm 15c- 19c),14
610,1. Cold (under 7c),26.923077
611,1. Cold (under 7c),29.230769
612,4. Hot  (20c and over),26.461538
613,3. (Warm 15c- 19c),14
614,2. Cool ( 7c - 14c),22.538462
615,4. Hot  (20c and over),23.769231
616,1. Cold (under 7c),26.307692
617,1. Cold (under 7c),31.461538
618,2. Cool ( 7c - 14c),22.538462
619,4. Hot  (20c and over),15.692308
620,1. Cold (under 7c),19.923077
621,1. Cold (under 7c),31.461538
622,3. (Warm 15c- 19c),14
623,1. Cold (under 7c),16.846154
624,1. Cold (under 7c),19.923077
625,1. Cold (under 7c),26.307692
626,3. (Warm 15c- 19c),14
627,3. (Warm 15c- 19c),14
628,1. Cold (under 7c),11.846154
629,4. Hot  (20c and over),23.769231
630,1. Cold (under 7c),31.461538
631,2. Cool ( 7c - 14c),26.923077
632,1. Cold (under 7c),18.538462
633,4. Hot  (20c and over),24.307692
634,4. Hot  (20c and over),15.692308
635,1. Cold (under 7c),26.307692
636,1. Cold (under 7c),31.461538
637,1. Cold (under 7c),31.538462
638,2. Cool ( 7c - 14c),25.769231
639,1. Cold (under 7c),20.846154
640,1. Cold (under 7c),19.923077
641,1. Cold (under 7c),20.846154
642,1. Cold (under 7c),20.846154
643,1. Cold (under 7c),19.923077
644,1. Cold (under 7c),29.230769
645,1. Cold (under 7c),19.923077
646,4. Hot  (20c and over),23.769231
647,4. Hot  (20c and over),23.769231
648,1. Cold (under 7c),31.538462
649,3. (Warm 15c- 19c),17.769231
650,4. Hot  (20c and over),23.769231
651,2. Cool ( 7c - 14c),22.538462
652,1. Cold (under 7c),37.923077
653,3. (Warm 15c- 19c),14
654,1. Cold (under 7c),19.923077
655,1. Cold (under 7c),19.923077
656,2. Cool ( 7c - 14c),22.538462
657,1. Cold (under 7c),26.307692
658,1. Cold (under 7c),37.923077
659,1. Cold (under 7c),20.846154
660,1. Cold (under 7c),31.461538
661,1. Cold (under 7c),31.461538
662,1. Cold (under 7c),19.923077
663,1. Cold (under 7c),29.230769
664,2. Cool ( 7c - 14c),22.538462
665,1. Cold (under 7c),16.846154
666,3. (Warm 15c- 19c),17.769231
667,1. Cold (under 7c),19.923077
668,2. Cool ( 7c - 14c),24.307692
669,4. Hot  (20c and over),26.461538
670,1. Cold (under 7c),19.923077
671,3. (Warm 15c- 19c),17.769231
672,1. Cold (under 7c),26.923077
673,1. Cold (under 7c),18.076923
674,2. Cool ( 7c - 14c),22.538462
675,1. Cold (under 7c),26.923077
676,3. (Warm 15c- 19c),29.076923
677,3. (Warm 15c- 19c),29.076923
678,3. (Warm 15c- 19c),14
679,3. (Warm 15c- 19c),17.769231
680,2. Cool ( 7c - 14c),24.307692
681,1. Cold (under 7c),31.461538
682,1. Cold (under 7c),26.307692
683,2. Cool ( 7c - 14c),25.769231
684,1. Cold (under 7c),31.461538
685,2. Cool ( 7c - 14c),22.538462
686,4. Hot  (20c and over),26.461538
687,3. (Warm 15c- 19c),14
688,1. Cold (under 7c),26.307692
689,1. Cold (under 7c),19.923077
690,4. Hot  (20c and over),15.692308
691,1. Cold (under 7c),11.846154
692,1. Cold (under 7c),19.923077
693,3. (Warm 15c- 19c),31.769231
694,1. Cold (under 7c),31.461538
695,2. Cool ( 7c - 14c),24.307692
696,2. Cool ( 7c - 14c),25.769231
697,1. Cold (under 7c),29.230769
698,2. Cool ( 7c - 14c),24.307692
699,1. Cold (under 7c),31.461538
700,1. Cold (under 7c),31.538462
701,1. Cold (under 7c),18.076923
702,4. Hot  (20c and over),15.692308
703,4. Hot  (20c and over),23.769231
704,4. Hot  (20c and over),24.769231
705,1. Cold (under 7c),19.923077
706,3. (Warm 15c- 19c),17.769231
707,1. Cold (under 7c),26.307692
708,1. Cold (under 7c),31.538462
709,1. Cold (under 7c),37.923077
710,3. (Warm 15c- 19c),14
711,1. Cold (under 7c),31.538462
712,3. (Warm 15c- 19c),29.076923
713,1. Cold (under 7c),26.307692
714,1. Cold (under 7c),16.846154
715,2. Cool ( 7c - 14c),22.538462
716,2. Cool ( 7c - 14c),24.307692
717,1. Cold (under 7c),19.923077
718,4. Hot  (20c and over),15.692308
719,1. Cold (under 7c),19.923077
720,1. Cold (under 7c),31.461538
721,1. Cold (under 7c),20.846154
722,1. Cold (under 7c),16.846154
723,3. (Warm 15c- 19c),31.769231
724,4. Hot  (20c and over),15.692308
725,4. Hot  (20c and over),23.769231
726,1. Cold (under 7c),20.846154
727,4. Hot  (20c and over),15.692308
728,4. Hot  (20c and over),15.692308
729,1. Cold (under 7c),20.846154
730,3. (Warm 15c- 19c),17.769231
